# 2026-08-30 22:20:54 ; Found 1047543 viable session entries from 429854 unique users.
rank,title_id,title,players,percentage
1,228748,Fortnite,115151,26.7884
2,223118,Roblox,81223,18.8955
3,10011898,EA SPORTS FC™ 26,68598,15.9584
4,201930,Grand Theft Auto V,48274,11.2303
5,203715,Rocket League®,40564,9.4367
6,10001130,Call of Duty®,38495,8.9554
7,212779,Minecraft,31933,7.4288
8,10014149,NBA 2K26,25704,5.9797
9,10017658,Call of Duty®: Black Ops II,22803,5.3048
10,203897,Tom Clancy's Rainbow Six Siege,18612,4.3298
11,10010451,Marvel Rivals,16718,3.8892
12,10002456,Marvel's Spider-Man 2,15900,3.6989
13,232352,Apex Legends™,11536,2.6837
14,10000657,HELLDIVERS™ 2,9867,2.2954
15,10002427,eFootball™,9156,2.13
16,216627,Overwatch®,8860,2.0612
17,10009568,Battlefield™ 6,8757,2.0372
18,10011645,Call of Duty®: Modern Warfare® III,7579,1.7632
19,10016592,EA SPORTS™ College Football 27,7234,1.6829
20,10012604,EA SPORTS™ Madden NFL 26,7095,1.6506
21,209441,Red Dead Redemption 2,6981,1.624
22,10016736,EA SPORTS™ Madden NFL 27,6972,1.6219
23,10017657,Call of Duty®: Black Ops,6655,1.5482
24,10000762,Marvel's Spider-Man,6638,1.5442
25,10017189,Big Walk,6580,1.5308
26,10010048,VALORANT,6509,1.5142
27,10009762,EA SPORTS FC™ 25,6328,1.4721
28,227319,Dead by Daylight,5814,1.3526
29,10006353,skate.™,5576,1.2972
30,10002788,UFC® 5,5435,1.2644
31,232374,Dying Light 2,5141,1.196
32,10003354,Fall Guys,5037,1.1718
33,10015430,MLB® The Show™ 26,5017,1.1671
34,200763,Call of Duty®: Black Ops III,4901,1.1402
35,10002313,The Crew Motorfest,4716,1.0971
36,10000229,ASTRO's PLAYROOM,4673,1.0871
37,216932,Brawlhalla,4644,1.0804
38,10000956,Gran Turismo® 7,4154,0.9664
39,10011027,Palworld,4038,0.9394
40,10010647,Forza Horizon 5,3871,0.9005
41,10011247,UFC® 6,3810,0.8863
42,10013987,Assassin's Creed Black Flag Resynced,3480,0.8096
43,10003610,ARC Raiders,3414,0.7942
44,10004911,Mortal Kombat 1,3388,0.7882
