# 2026-09-01 15:58:04 ; Found 777754 viable session entries from 324460 unique users.
rank,title_id,title,players,percentage,release_date
18,10016736,EA SPORTS™ Madden NFL 27,5982,1.8437,2026-08-06
32,10017189,Big Walk,3408,1.0504,2026-08-04
58,10008019,MARVEL Tōkon: Fighting Souls,1499,0.462,2026-08-06
71,10010058,Mortal Shell II,1287,0.3967,2026-08-20
72,10019078,No More Room in Hell 2,1270,0.3914,2026-08-11
81,10014425,Hell Let Loose: Vietnam,1084,0.3341,2026-08-12
83,10016651,Grounded 2,1047,0.3227,2026-08-11
109,10013884,Halo: Campaign Evolved,807,0.2487,2026-07-28
203,10015762,Once Human,367,0.1131,2026-08-24
220,10017212,Mistfall Hunter,321,0.0989,2026-07-30
270,10010865,The Lord of the Rings: War in the North™ - Legacy Edition,261,0.0804,2026-08-10
290,10019710,Onimusha: Dawn of Dreams,221,0.0681,2026-08-18
297,10018502,NBA 2K27,216,0.0666,2026-09-04
303,10014719,Beast of Reincarnation,209,0.0644,2026-08-04
359,10017040,Waterpark Simulator,167,0.0515,2026-07-31
533,10007642,Atlantis: The Lost Empire [PS1 Emulation],86,0.0265,2026-08-18
545,10009208,The Sinking City 2,84,0.0259,2026-08-18
565,10017298,CloverPit,79,0.0243,2026-08-13
599,10014396,Gallipoli,73,0.0225,2026-08-20
751,10014600,Duskfade,48,0.0148,2026-08-13
801,10019687,Dating Stories 2,42,0.0129,2026-07-31
1103,10014695,Aliens: Fireteam Elite 2,20,0.0062,2026-08-25
1151,10015979,Village in the Shade,19,0.0059,2026-07-29
1152,10009826,Voidtrain,19,0.0059,2026-07-30
1277,10017883,Carry The Glass,14,0.0043,2026-08-31
1423,10017931,The King is Watching,12,0.0037,2026-07-29
1436,10019099,Berry Bury Berry,11,0.0034,2026-08-20
1585,10017990,Is This Seat Taken?,9,0.0028,2026-08-31
1701,10010147,The Relic: First Guardian,8,0.0025,2026-07-31
1720,10016753,Bootstrap Island,7,0.0022,2026-08-13
1740,10019613,Ground Zero Hero,7,0.0022,2026-08-20
1744,10012547,Kynseed,7,0.0022,2026-08-04
1857,10018355,Leafy Corner,6,0.0018,2026-07-30
1864,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,6,0.0018,2026-08-27
1913,10018629,Tower Dominion,6,0.0018,2026-08-14
1944,10017140,BLUE REFLECTION Quartet,5,0.0015,2026-07-30
2027,10020204,New York Mysteries 3: The Lantern of Souls,5,0.0015,2026-07-29
2064,10011479,Super Bunny Man,5,0.0015,2026-08-06
2090,10019957,Wild Blue Skies,5,0.0015,2026-08-13
2120,10013637,Brigandine Abyss,4,0.0012,2026-08-27
2209,10014311,PAW Patrol™: Dino World,4,0.0012,2026-07-31
2214,10018386,Pro Jank Footy,4,0.0012,2026-08-12
2373,10019343,Dungeon Antiqua,3,0.0009,2026-07-29
2379,10017440,Emergency Room Simulator,3,0.0009,2026-08-13
2435,10017553,Marsupilami 2 - Salsa Palombia,3,0.0009,2026-09-03
2445,10008133,Moonlighter 2: The Endless Vault,3,0.0009,2026-09-02
2608,10019019,Akatori,2,0.0006,2026-08-13
2694,10018689,Defender of the Crown: The Legend Returns,2,0.0006,2026-08-13
2768,10010662,Gothic Classic,2,0.0006,2026-07-28
2776,10016444,Grim Trials,2,0.0006,2026-08-20
2777,10019564,Grizzy and the Lemmings - Crazy Party,2,0.0006,2026-08-07
2802,10018486,Idle Immortal,2,0.0006,2026-08-13
2865,10018714,Mexican Ninja,2,0.0006,2026-08-20
2894,10019342,No Case Should Remain Unsolved,2,0.0006,2026-08-19
2920,10019692,Psalm 5:9-13,2,0.0006,2026-08-21
3062,10014568,Truxton Extreme,2,0.0006,2026-07-30
3067,10017663,Tyrant's Realm,2,0.0006,2026-08-13
3109,10019436,Zombie Graveyard Simulator,2,0.0006,2026-07-30
3129,10018178,1998: The Toll Keeper Story,1,0.0003,2026-08-08
3135,10017381,70s-style Robot Anime Geppy-X,1,0.0003,2026-07-31
3215,10019317,Arcade Archives 2 CYBER CYCLES,1,0.0003,2026-08-20
3217,10019872,Arcade Archives 2 NINJA EMAKI,1,0.0003,2026-08-20
3302,10019278,Birds Watching,1,0.0003,2026-08-20
3430,10019068,Console Archives BUBBLE BOBBLE,1,0.0003,2026-08-26
3431,10019067,Console Archives Rhapsody II: Ballad of the Little Princess,1,0.0003,2026-08-20
3447,10016135,Creepy Shift: Uncle Joe’s Motel,1,0.0003,2026-08-21
3474,10020187,Dark Reflection,1,0.0003,2026-08-20
3600,10011344,Far Lands,1,0.0003,2026-07-29
3616,10018069,Feudal Baron: King's Land,1,0.0003,2026-08-06
3789,10019155,Ironforged,1,0.0003,2026-08-07
3816,10020075,Karakulo 21,1,0.0003,2026-08-13
3840,10014861,Kusan: City of Wolves,1,0.0003,2026-07-30
4003,10019936,Nightmare Delivery,1,0.0003,2026-08-13
4004,10018823,Nightmare Shift,1,0.0003,2026-08-13
4009,10020374,No More Slimes!!,1,0.0003,2026-08-19
4058,10020136,Pets Survivors,1,0.0003,2026-08-12
4089,10019193,Politics The Game,1,0.0003,2026-08-18
4177,10020457,River Strike,1,0.0003,2026-08-20
4255,10018079,Sizeable,1,0.0003,2026-07-29
