rank,title_id,title,players,percentage,release_date
8,10018502,NBA 2K27,13947,5.4948,2026-09-04
36,10015762,Once Human,2609,1.0279,2026-08-24
66,10013248,Onimusha: Way of the Sword,1137,0.4479,2026-09-04
77,10013855,The Blood of Dawnwalker,980,0.3861,2026-09-03
84,10010058,Mortal Shell II,877,0.3455,2026-08-20
85,10014718,Halloween: The Game,869,0.3424,2026-09-08
114,10014425,Hell Let Loose: Vietnam,638,0.2514,2026-08-12
122,10009029,STAR WARS Zero Company™,600,0.2364,2026-08-27
126,10016651,Grounded 2,585,0.2305,2026-08-11
131,10019078,No More Room in Hell 2,573,0.2257,2026-08-11
162,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,425,0.1674,2026-08-27
203,10013260,Crimson Moon,296,0.1166,2026-09-01
210,10017367,NHL® 27,282,0.1111,2026-09-04
289,10014695,Aliens: Fireteam Elite 2,192,0.0756,2026-08-25
340,10015413,Resonance: A Plague Tale Legacy,142,0.0559,2026-08-27
383,10019710,Onimusha: Dawn of Dreams,118,0.0465,2026-08-18
397,10010865,The Lord of the Rings: War in the North™ - Legacy Edition,112,0.0441,2026-08-10
661,10017298,CloverPit,44,0.0173,2026-08-13
679,10014858,SpeedRunners 2: King of Speed,43,0.0169,2026-09-03
711,10008133,Moonlighter 2: The Endless Vault,39,0.0154,2026-09-02
735,10014396,Gallipoli,37,0.0146,2026-08-20
848,10009208,The Sinking City 2,29,0.0114,2026-08-18
936,10007642,Atlantis: The Lost Empire [PS1 Emulation],22,0.0087,2026-08-18
1005,10018725,Fortress Merge,19,0.0075,2026-09-04
1030,10014600,Duskfade,18,0.0071,2026-08-13
1090,10009253,Serious Sam: Shatterverse,16,0.0063,2026-08-31
1092,10017650,Trails in the Sky 2nd Chapter,16,0.0063,2026-09-17
1208,10013637,Brigandine Abyss,12,0.0047,2026-08-27
1340,10015004,Starsand Island,10,0.0039,2026-08-18
1384,10020501,Keeper,9,0.0035,2026-09-03
1433,10017883,Carry The Glass,8,0.0032,2026-08-31
1524,10008396,Bus Simulator 27,7,0.0028,2026-09-08
1633,10019099,Berry Bury Berry,6,0.0024,2026-08-20
1668,10010589,Infection Free Zone,6,0.0024,2026-08-27
1669,10017990,Is This Seat Taken?,6,0.0024,2026-08-31
1875,10016753,Bootstrap Island,4,0.0016,2026-08-13
2006,10018518,Super Woden Rally Edge,4,0.0016,2026-09-02
2056,10019522,Blood Dungeon,3,0.0012,2026-08-25
2062,10019004,Catch Flex,3,0.0012,2026-09-02
2126,10010731,HOT WHEELS™ Infinite Rush,3,0.0012,2026-09-10
2154,10018393,Monuments Renovator,3,0.0012,2026-09-01
2263,10018629,Tower Dominion,3,0.0012,2026-08-14
2299,10018176,1x1 Street Football: mini soccer PvP,2,0.0008,2026-08-27
2312,10010732,Aggelos 2,2,0.0008,2026-08-27
2407,10019989,Dream Cage,2,0.0008,2026-09-04
2417,10014950,ENDLESS Legend™ 2,2,0.0008,2026-09-17
2467,10016444,Grim Trials,2,0.0008,2026-08-20
2521,10019478,Lady Death Demonicron,2,0.0008,2026-08-31
2538,10012807,Lou's Lagoon,2,0.0008,2026-08-27
2549,10019219,Mewgenics,2,0.0008,2026-09-08
2606,10019692,Psalm 5:9-13,2,0.0008,2026-08-21
2618,10017112,Refate: Echoes of Desire,2,0.0008,2026-08-21
2729,10019398,The Three Kingdoms: Rebirth,2,0.0008,2026-08-10
2782,10012337,Woodo,2,0.0008,2026-09-16
2801,10020616,4096 Space Traders Era,1,0.0004,2026-08-21
2810,10016334,A Tower Full of Cats,1,0.0004,2026-08-26
2862,10017582,Animal Shelter 2,1,0.0004,2026-08-27
2874,10019871,Arcade Archives 2 PINBALL ACTION,1,0.0004,2026-08-13
2876,10019132,Arcade Archives 2 V'BALL,1,0.0004,2026-08-13
2899,10019473,Asdivine Knot,1,0.0004,2026-09-04
2954,10019366,BioEden,1,0.0004,2026-09-03
2960,10020396,Black Flower,1,0.0004,2026-08-31
3041,10017452,Console Archives THE CONVENI 2,1,0.0004,2026-09-03
3129,10017863,Driving is Hard,1,0.0004,2026-08-20
3169,10019301,EXSTETRA,1,0.0004,2026-09-02
3187,10017398,Fight School Simulator,1,0.0004,2026-09-03
3219,10016847,Funguys Swarm,1,0.0004,2026-08-25
3313,10019147,Horripilant,1,0.0004,2026-08-27
3351,10018993,Jonah Lomu Rugby Challenge 4 Remastered,1,0.0004,2026-08-28
3357,10018498,Kaboomania,1,0.0004,2026-08-13
3404,10020272,Lingix Lingo,1,0.0004,2026-08-15
3447,10017553,Marsupilami 2 - Salsa Palombia,1,0.0004,2026-09-03
3522,10020570,NeoNoid,1,0.0004,2026-08-15
3537,10019936,Nightmare Delivery,1,0.0004,2026-08-13
3538,10018823,Nightmare Shift,1,0.0004,2026-08-13
3544,10020374,No More Slimes!!,1,0.0004,2026-08-19
3551,10020205,Obby Sprunki Towers,1,0.0004,2026-08-27
3562,10015764,Omega Pilot Evolution,1,0.0004,2026-08-31
3564,10016237,Once Alive,1,0.0004,2026-08-28
3585,10015943,Panzer Knights: Commander's Edition,1,0.0004,2026-08-13
3614,10019193,Politics The Game,1,0.0004,2026-08-18
3651,10019737,Railbreak DX,1,0.0004,2026-09-04
3877,10018440,The Immortal John Triptych,1,0.0004,2026-08-27
4024,10019957,Wild Blue Skies,1,0.0004,2026-08-13
4030,10018546,With Eyes of Ice,1,0.0004,2026-08-21
