rank,title_id,title,players,percentage
1,228748,Fortnite,92369,28.272
2,223118,Roblox,65695,20.1077
3,10011898,EA SPORTS FC™ 26,48706,14.9078
4,201930,Grand Theft Auto V,40088,12.27
5,203715,Rocket League®,34111,10.4406
6,10001130,Call of Duty®,31818,9.7388
7,212779,Minecraft,22435,6.8668
8,203897,Tom Clancy's Rainbow Six Siege,15961,4.8853
9,10018502,NBA 2K27,15318,4.6885
10,10014149,NBA 2K26,11863,3.631
11,10017658,Call of Duty®: Black Ops II,10519,3.2196
12,10010451,Marvel Rivals,10028,3.0693
13,232352,Apex Legends™,8801,2.6938
14,10002456,Marvel's Spider-Man 2,8456,2.5882
15,209441,Red Dead Redemption 2,7316,2.2393
16,10015430,MLB® The Show™ 26,6905,2.1135
17,10002427,eFootball™,6719,2.0565
18,10009568,Battlefield™ 6,6445,1.9727
19,216627,Overwatch®,6265,1.9176
20,10016592,EA SPORTS™ College Football 27,5867,1.7958
21,10016736,EA SPORTS™ Madden NFL 27,5146,1.5751
22,10010048,VALORANT,4998,1.5298
23,10009762,EA SPORTS FC™ 25,4756,1.4557
24,10000657,HELLDIVERS™ 2,4710,1.4416
25,10011645,Call of Duty®: Modern Warfare® III,4614,1.4122
26,10012604,EA SPORTS™ Madden NFL 26,4607,1.4101
27,10006353,skate.™,4543,1.3905
28,10008716,Sniper Elite: Resistance,4339,1.3281
29,10004896,Wobbly Life,4327,1.3244
30,227319,Dead by Daylight,3899,1.1934
31,10002788,UFC® 5,3684,1.1276
32,10000762,Marvel's Spider-Man,3655,1.1187
33,10002313,The Crew Motorfest,3477,1.0642
34,10003354,Fall Guys,3458,1.0584
35,216932,Brawlhalla,3433,1.0508
36,10000956,Gran Turismo® 7,3424,1.048
37,10000229,ASTRO's PLAYROOM,3229,0.9883
38,10015762,Once Human,3114,0.9531
39,10017657,Call of Duty®: Black Ops,3037,0.9296
40,200763,Call of Duty®: Black Ops III,2970,0.909
41,10010647,Forza Horizon 5,2834,0.8674
42,10011247,UFC® 6,2674,0.8185
43,10007176,EA SPORTS FC™ 24,2427,0.7428
44,10004911,Mortal Kombat 1,2387,0.7306
45,10012463,EA SPORTS™ College Football 26,2317,0.7092
46,10003610,ARC Raiders,2314,0.7083
47,10000333,ELDEN RING,2194,0.6715
48,10013165,Call of Duty®: Black Ops 6,2039,0.6241
49,10000649,Marvel's Spider-Man: Miles Morales,1970,0.603
50,234567,Cyberpunk 2077,1964,0.6011
51,10001850,God of War Ragnarök,1846,0.565
52,10011027,Palworld,1823,0.558
53,232374,Dying Light 2,1807,0.5531
54,216234,Gang Beasts,1806,0.5528
55,10009213,Ready or Not,1713,0.5243
56,10007902,DRAGON BALL: Sparking! ZERO,1622,0.4965
57,10013987,Assassin's Creed Black Flag Resynced,1589,0.4864
58,230079,The Last of Us™ Part II,1579,0.4833
59,10000896,Genshin Impact,1564,0.4787
60,10013248,Onimusha: Way of the Sword,1551,0.4747
61,10002363,Crimson Desert,1542,0.472
62,10009612,Farming Simulator 25,1519,0.4649
63,10010481,NBA 2K25,1502,0.4597
64,10015300,WWE 2K26,1487,0.4551
65,205342,Warframe,1470,0.4499
66,235227,Ghost of Tsushima,1469,0.4496
67,10014718,Halloween: The Game,1462,0.4475
68,221694,For Honor,1456,0.4456
69,231756,Mortal Kombat 11,1451,0.4441
70,10007588,Stumble Guys,1408,0.431
71,221852,Destiny 2,1373,0.4202
72,10003923,Ghost of Yōtei,1340,0.4101
73,10013855,The Blood of Dawnwalker,1340,0.4101
74,233072,Rust Console Edition,1329,0.4068
75,10004336,EA SPORTS™ FIFA 23,1326,0.4059
76,10009297,Undisputed,1277,0.3909
77,10017189,Big Walk,1275,0.3902
78,205366,War Thunder,1257,0.3847
79,234659,Need for Speed™ Heat,1254,0.3838
80,221850,DayZ,1235,0.378
81,10006270,TEKKEN 8,1219,0.3731
82,232447,Hogwarts Legacy,1193,0.3652
83,201697,Tom Clancy's Ghost Recon® Wildlands,1177,0.3603
84,10002811,Among Us,1145,0.3505
85,10003151,EA SPORTS™ College Football 25,1140,0.3489
86,10008286,ARK: Survival Ascended,1109,0.3394
87,233030,EA SPORTS™ UFC® 4,1102,0.3373
88,10009763,Zenless Zone Zero,1043,0.3192
89,10012851,NHL® 26,1010,0.3091
90,10008740,Asphalt Legends,1003,0.307
91,234689,It Takes Two  PS4™ & PS5™,1001,0.3064
92,10011830,F1® 25,999,0.3058
93,10004473,Resident Evil 4,988,0.3024
94,10010971,Call of Duty®: Modern Warfare® II,979,0.2996
95,10002684,ASTRO BOT,976,0.2987
96,10006560,007 First Light,966,0.2957
