# 2026-08-30 22:01:22 ; Found 48116 viable session entries from 30744 unique users.
rank,title_id,title,players,percentage,release_date
33,10006560,007 First Light,185,0.6017,2026-05-27
36,10011247,UFC® 6,169,0.5497,2026-06-18
66,10008537,LEGO® Batman™: Legacy of the Dark Knight,85,0.2765,2026-05-22
81,10012768,GOALS,68,0.2212,2026-06-04
108,10011746,NBA THE RUN,51,0.1659,2026-06-09
309,10018882,Poppy Playtime: Chapter 5,12,0.039,2026-05-27
389,10005976,Gothic 1 Remake,9,0.0293,2026-06-05
420,10007935,The Adventures of Elliot: The Millennium Tales,8,0.026,2026-06-18
422,10016955,War Robots,8,0.026,2026-05-27
423,10011450,World of Tanks: HEAT,8,0.026,2026-05-26
458,10018858,Bellwright,6,0.0195,2026-06-09
473,10017591,Gitaroo-Man,6,0.0195,2026-06-16
513,10018445,Bag Fight,5,0.0163,2026-05-22
524,10018901,Diamond Painting ASMR,5,0.0163,2026-05-29
672,10014022,Drug Dealer Simulator 2,3,0.0098,2026-06-17
746,10013019,Solarpunk,3,0.0098,2026-06-08
765,10017761,Tour de France 2026,3,0.0098,2026-06-04
853,10019616,Ecchi Crush,2,0.0065,2026-06-05
913,10010918,Mina the Hollower,2,0.0065,2026-05-29
963,10017775,SCHIZOPHRENIA,2,0.0065,2026-05-25
1024,10015922,#DRIVE Rally,1,0.0033,2026-06-18
1068,10017655,Beastro,1,0.0033,2026-06-11
1111,10012616,Coffee Talk Tokyo,1,0.0033,2026-05-20
1120,10011541,COPA CITY,1,0.0033,2026-06-16
1221,10019865,Fruits Slot Machine,1,0.0033,2026-06-05
1239,10018871,Grand Vegas Casino,1,0.0033,2026-06-17
1263,10019477,Hill Climb Legends,1,0.0033,2026-05-30
1265,10015028,Hollowbody,1,0.0033,2026-06-05
1285,10010682,Junkster,1,0.0033,2026-06-16
1313,10019148,Lost Lands 9: Stories of the First Brotherhood,1,0.0033,2026-06-02
1336,10019676,Military Merge,1,0.0033,2026-06-10
1354,10015164,My Little Puppy,1,0.0033,2026-05-29
1492,10014866,STARSEEKER: Astroneer Expeditions,1,0.0033,2026-06-11
1515,10015436,Tanki Online,1,0.0033,2026-06-04
1612,10016640,"Warhammer 40,000: Speed Freeks",1,0.0033,2026-05-21
