rank,title_id,title,players,percentage
1,228748,Fortnite,7276,17.3271
2,223118,Roblox,5691,13.5526
3,10011898,EA SPORTS FC™ 26,5393,12.8429
4,201930,Grand Theft Auto V,3672,8.7445
5,10017658,Call of Duty®: Black Ops II,2906,6.9204
6,203715,Rocket League®,2747,6.5417
7,10001130,Call of Duty®,2733,6.5084
8,10014149,NBA 2K26,2132,5.0772
9,212779,Minecraft,1803,4.2937
10,203897,Tom Clancy's Rainbow Six Siege,1120,2.6672
11,10010451,Marvel Rivals,994,2.3671
12,10011645,Call of Duty®: Modern Warfare® III,786,1.8718
13,10017657,Call of Duty®: Black Ops,723,1.7218
14,232352,Apex Legends™,684,1.6289
15,10009568,Battlefield™ 6,684,1.6289
16,10016592,EA SPORTS™ College Football 27,581,1.3836
17,10012604,EA SPORTS™ Madden NFL 26,547,1.3026
18,10002427,eFootball™,538,1.2812
19,10008019,MARVEL Tōkon: Fighting Souls,512,1.2193
20,10013987,Assassin's Creed Black Flag Resynced,499,1.1883
21,216627,Overwatch®,486,1.1574
22,209441,Red Dead Redemption 2,470,1.1193
23,10009762,EA SPORTS FC™ 25,424,1.0097
24,10010048,VALORANT,403,0.9597
25,10011027,Palworld,402,0.9573
26,10002788,UFC® 5,393,0.9359
27,10002456,Marvel's Spider-Man 2,386,0.9192
28,227319,Dead by Daylight,375,0.893
29,200763,Call of Duty®: Black Ops III,361,0.8597
30,10015430,MLB® The Show™ 26,345,0.8216
31,10011247,UFC® 6,307,0.7311
32,10006353,skate.™,305,0.7263
33,10000956,Gran Turismo® 7,287,0.6835
34,10002313,The Crew Motorfest,286,0.6811
35,10010647,Forza Horizon 5,284,0.6763
36,216932,Brawlhalla,280,0.6668
37,10000229,ASTRO's PLAYROOM,271,0.6454
38,10003354,Fall Guys,268,0.6382
39,10012463,EA SPORTS™ College Football 26,247,0.5882
40,10003610,ARC Raiders,241,0.5739
41,10004911,Mortal Kombat 1,236,0.562
42,235179,Avatar: Frontiers of Pandora™,229,0.5453
43,10007176,EA SPORTS FC™ 24,214,0.5096
44,234567,Cyberpunk 2077,197,0.4691
45,221852,Destiny 2,192,0.4572
46,10001850,God of War Ragnarök,184,0.4382
47,216234,Gang Beasts,167,0.3977
48,10003386,Rise of the Ronin™,158,0.3763
49,10013165,Call of Duty®: Black Ops 6,152,0.362
50,10000896,Genshin Impact,149,0.3548
51,10007902,DRAGON BALL: Sparking! ZERO,147,0.3501
52,10015300,WWE 2K26,143,0.3405
53,10000762,Marvel's Spider-Man,142,0.3382
54,10009612,Farming Simulator 25,141,0.3358
55,205342,Warframe,136,0.3239
56,221694,For Honor,133,0.3167
57,10013884,Halo: Campaign Evolved,132,0.3143
58,10000657,HELLDIVERS™ 2,132,0.3143
59,10010481,NBA 2K25,129,0.3072
60,10000333,ELDEN RING,128,0.3048
61,10009297,Undisputed,128,0.3048
62,233072,Rust Console Edition,124,0.2953
63,221850,DayZ,123,0.2929
64,230079,The Last of Us™ Part II,123,0.2929
65,10004336,EA SPORTS™ FIFA 23,115,0.2739
66,10011830,F1® 25,114,0.2715
67,231756,Mortal Kombat 11,113,0.2691
68,233030,EA SPORTS™ UFC® 4,112,0.2667
69,10007588,Stumble Guys,112,0.2667
70,10008286,ARK: Survival Ascended,111,0.2643
71,10002363,Crimson Desert,110,0.262
