# 2026-08-30 22:22:59 ; Found 55172 viable session entries from 34154 unique users.
rank,title_id,title,players,percentage
1,228748,Fortnite,7256,21.2449
2,223118,Roblox,4953,14.502
3,10011898,EA SPORTS FC™ 26,3889,11.3867
4,10001130,Call of Duty®,2462,7.2085
5,203715,Rocket League®,2399,7.0241
6,201930,Grand Theft Auto V,2293,6.7137
7,10014149,NBA 2K26,1753,5.1326
8,212779,Minecraft,1402,4.1049
9,203897,Tom Clancy's Rainbow Six Siege,1142,3.3437
10,10017658,Call of Duty®: Black Ops II,902,2.641
11,10010451,Marvel Rivals,877,2.5678
12,10002456,Marvel's Spider-Man 2,713,2.0876
13,232352,Apex Legends™,688,2.0144
14,10016736,EA SPORTS™ Madden NFL 27,535,1.5664
15,10009568,Battlefield™ 6,525,1.5372
16,216627,Overwatch®,515,1.5079
17,10016592,EA SPORTS™ College Football 27,472,1.382
18,10000657,HELLDIVERS™ 2,459,1.3439
19,10010048,VALORANT,446,1.3058
20,10002427,eFootball™,435,1.2736
21,227319,Dead by Daylight,360,1.054
22,10011645,Call of Duty®: Modern Warfare® III,356,1.0423
23,10015430,MLB® The Show™ 26,331,0.9691
24,209441,Red Dead Redemption 2,322,0.9428
25,10012604,EA SPORTS™ Madden NFL 26,310,0.9077
26,10002788,UFC® 5,306,0.8959
27,10006353,skate.™,283,0.8286
28,10000762,Marvel's Spider-Man,272,0.7964
29,10009762,EA SPORTS FC™ 25,254,0.7437
30,10011247,UFC® 6,252,0.7378
31,10017657,Call of Duty®: Black Ops,235,0.6881
32,216932,Brawlhalla,225,0.6588
33,10002313,The Crew Motorfest,219,0.6412
34,10000956,Gran Turismo® 7,218,0.6383
35,10015762,Once Human,209,0.6119
36,10003354,Fall Guys,205,0.6002
37,10018502,NBA 2K27,205,0.6002
38,10003610,ARC Raiders,203,0.5944
39,10010647,Forza Horizon 5,198,0.5797
40,10000229,ASTRO's PLAYROOM,195,0.5709
41,200763,Call of Duty®: Black Ops III,181,0.53
42,232374,Dying Light 2,175,0.5124
43,10011027,Palworld,156,0.4568
44,10017189,Big Walk,150,0.4392
45,10012463,EA SPORTS™ College Football 26,144,0.4216
46,10007176,EA SPORTS FC™ 24,143,0.4187
47,10000649,Marvel's Spider-Man: Miles Morales,141,0.4128
48,10013165,Call of Duty®: Black Ops 6,138,0.4041
49,10004911,Mortal Kombat 1,138,0.4041
50,10001850,God of War Ragnarök,133,0.3894
51,10000896,Genshin Impact,121,0.3543
52,10013987,Assassin's Creed Black Flag Resynced,119,0.3484
53,10002363,Crimson Desert,117,0.3426
54,221852,Destiny 2,117,0.3426
55,10015300,WWE 2K26,116,0.3396
56,10012874,NTE: Neverness to Everness,115,0.3367
57,10007902,DRAGON BALL: Sparking! ZERO,111,0.325
58,10000333,ELDEN RING,107,0.3133
59,10009612,Farming Simulator 25,106,0.3104
60,10010481,NBA 2K25,106,0.3104
61,205342,Warframe,106,0.3104
62,234567,Cyberpunk 2077,105,0.3074
63,10010058,Mortal Shell II,104,0.3045
64,10009763,Zenless Zone Zero,98,0.2869
65,10012851,NHL® 26,97,0.284
66,10006270,TEKKEN 8,96,0.2811
67,201697,Tom Clancy's Ghost Recon® Wildlands,96,0.2811
68,10003923,Ghost of Yōtei,95,0.2782
69,233072,Rust Console Edition,93,0.2723
70,230079,The Last of Us™ Part II,89,0.2606
71,10011830,F1® 25,87,0.2547
72,221694,For Honor,87,0.2547
73,216234,Gang Beasts,86,0.2518
74,10006873,THE FINALS,85,0.2489
75,221850,DayZ,84,0.2459
76,10009213,Ready or Not,84,0.2459
77,10009297,Undisputed,83,0.243
78,10007588,Stumble Guys,82,0.2401
79,10016651,Grounded 2,81,0.2372
80,10008019,MARVEL Tōkon: Fighting Souls,81,0.2372
81,235227,Ghost of Tsushima,80,0.2342
82,204794,ウィッチャー３　ワイルドハント,78,0.2284
