rank,title_id,title,players,percentage,release_date
8,10018502,NBA 2K27,1216,3.6676,2026-09-04
28,10014718,Halloween: The Game,265,0.7993,2026-09-08
38,10015762,Once Human,188,0.567,2026-08-24
51,10013248,Onimusha: Way of the Sword,130,0.3921,2026-09-04
59,10013855,The Blood of Dawnwalker,99,0.2986,2026-09-03
107,10010058,Mortal Shell II,54,0.1629,2026-08-20
109,10016651,Grounded 2,53,0.1599,2026-08-11
113,10014425,Hell Let Loose: Vietnam,51,0.1538,2026-08-12
121,10017367,NHL® 27,46,0.1387,2026-09-04
175,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,29,0.0875,2026-08-27
178,10009029,STAR WARS Zero Company™,28,0.0845,2026-08-27
189,10019078,No More Room in Hell 2,26,0.0784,2026-08-11
272,10014695,Aliens: Fireteam Elite 2,16,0.0483,2026-08-25
283,10014397,Valheim,16,0.0483,2026-09-09
358,10019710,Onimusha: Dawn of Dreams,10,0.0302,2026-08-18
391,10013260,Crimson Moon,8,0.0241,2026-09-01
487,10018725,Fortress Merge,6,0.0181,2026-09-04
636,10019219,Mewgenics,4,0.0121,2026-09-08
655,10015413,Resonance: A Plague Tale Legacy,4,0.0121,2026-08-27
681,10008396,Bus Simulator 27,3,0.009,2026-09-08
685,10017298,CloverPit,3,0.009,2026-08-13
790,10009208,The Sinking City 2,3,0.009,2026-08-18
885,10010731,HOT WHEELS™ Infinite Rush,2,0.006,2026-09-10
974,10014858,SpeedRunners 2: King of Speed,2,0.006,2026-09-03
977,10017182,SPRAWL zero,2,0.006,2026-09-08
1067,10007642,Atlantis: The Lost Empire [PS1 Emulation],1,0.003,2026-08-18
1073,10008741,Barbarian Saga: The Beastmaster,1,0.003,2026-09-09
1081,10019099,Berry Bury Berry,1,0.003,2026-08-20
1099,10013637,Brigandine Abyss,1,0.003,2026-08-27
1153,10018689,Defender of the Crown: The Legend Returns,1,0.003,2026-08-13
1171,10018333,Dragon Quest Heroes: Torneko‘s Mystery Dungeon -Classic HD-,1,0.003,2026-09-09
1178,10014600,Duskfade,1,0.003,2026-08-13
1276,10009286,Honeycomb: The World Beyond,1,0.003,2026-09-08
1301,10017990,Is This Seat Taken?,1,0.003,2026-08-31
1313,10020501,Keeper,1,0.003,2026-09-03
1334,10018277,Lizards Must Die 2,1,0.003,2026-08-28
1354,10017553,Marsupilami 2 - Salsa Palombia,1,0.003,2026-09-03
1357,10002861,Marvel’s Wolverine,1,0.003,2026-09-15
1648,10018629,Tower Dominion,1,0.003,2026-08-14
