rank,title_id,title,players,percentage,release_date
6,2106683993,skate.™ (Game Preview),15303,7.6215,2025-09-16
9,1696697876,NBA 2K26,9999,4.9799,2025-09-04
11,1924639289,HELLDIVERS™ 2,8505,4.2358,2025-08-26
15,1928228122,Borderlands®4,6042,3.0092,2025-09-13
16,1852068331,EA SPORTS FC™ 26,5564,2.7711,2025-09-25
17,1668241504,Hollow Knight: Silksong,5137,2.5584,2025-09-04
34,1829869520,Gears of War: Reloaded,2363,1.1769,2025-08-26
38,2076120890,Deep Rock Galactic: Survivor,2193,1.0922,2025-09-17
51,1746894998,Roblox - Windows,1604,0.7989,2025-09-11
57,1680544459,Dying Light: The Beast,1467,0.7306,2025-09-18
98,2119939858,NHL® 26 Xbox Series X|S,766,0.3815,2025-09-11
195,1684061010,SWORN,369,0.1838,2025-09-23
229,1946419297,Jump Space (Game Preview),300,0.1494,2025-09-19
270,1751185882,METAL GEAR SOLID Δ: SNAKE EATER,221,0.1101,2025-08-28
340,2050929089,DUCKSIDE (Game Preview),157,0.0782,2025-09-03
364,1631581287,Cronos: The New Dawn,136,0.0677,2025-09-04
451,1962619691,Cataclismo,96,0.0478,2025-09-04
507,1819998160,LEGO® Voyagers,81,0.0403,2025-09-14
592,1910114469,Deadzone: Rogue,63,0.0314,2025-09-03
624,1947019474,ScootX,59,0.0294,2025-09-19
649,1867652631,Firefighting Simulator: Ignite,55,0.0274,2025-09-09
654,1644006979,ENDLESS Legend™ 2,54,0.0269,2025-09-22
676,1830825388,SILENT HILL f,51,0.0254,2025-09-25
681,1799885509,Labyrinthine - Console Edition,50,0.0249,2025-09-18
687,2111887267,Sonic Racing: CrossWorlds,49,0.0244,2025-09-25
698,1884079219,Slime Rancher 2,47,0.0234,2025-09-23
785,1935688591,Daemon X Machina: Titanic Scion,36,0.0179,2025-09-04
796,2139967680,Sonic Racing: CrossWorlds – Open Network Test,36,0.0179,2025-08-29
813,1886146911,Yet Another Zombie Survivors,34,0.0169,2025-09-11
942,1902411725,Hell is Us,25,0.0125,2025-09-04
950,2040578587,SHINOBI: Art of Vengeance,25,0.0125,2025-08-29
1024,1890778408,Hidden Cats in Tokyo,21,0.0105,2025-09-17
1182,1611397404,UBOAT,15,0.0075,2025-08-27
1227,2043510457,Friends vs Friends,13,0.0065,2025-09-01
1248,2119315223,Void Crew,13,0.0065,2025-09-04
1263,2125839408,Formula Legends,12,0.006,2025-09-18
1268,2022315423,Gunsmith Simulator,12,0.006,2025-09-04
1283,2049279350,Puzzle Quest: Immortal Edition,12,0.006,2025-09-18
1314,1922125818,Dead Reset,11,0.0055,2025-09-11
1359,1794618801,Car Mechanic Shop Simulator,10,0.005,2025-09-19
1377,1930132661,Jotunnslayer: Hordes of Hel,10,0.005,2025-09-03
1425,1668362617,Bullet Trail,9,0.0045,2025-09-19
1627,1983088228,9 Lives To Defend,6,0.003,2025-09-10
1729,2027842646,Totally Normal Journey: The Interactive Musical,6,0.003,2025-09-19
1730,1752529058,Towa and the Guardians of the Sacred Tree,6,0.003,2025-09-19
1747,1619305462,Baki Hanma: Blood Arena,5,0.0025,2025-09-11
1779,1741300205,Earthion,5,0.0025,2025-09-18
1798,1673712997,KARMA: The Dark World,5,0.0025,2025-09-10
1961,1624454834,Mel The Cat,4,0.002,2025-09-18
1962,1889275388,Metal Eden,4,0.002,2025-09-02
2093,2078107330,Bad Cheese,3,0.0015,2025-09-01
2096,1723892556,Bear Squire Honey Journey,3,0.0015,2025-09-19
2118,2137663855,Chip ‘n Clawz vs. The Brainioids,3,0.0015,2025-08-25
2140,1855780914,DreamWorks Gabby’s Dollhouse: Ready to Party,3,0.0015,2025-09-19
2170,1901326326,Goat Out Of Hell,3,0.0015,2025-09-16
2176,1627601214,Heading Out,3,0.0015,2025-08-29
2208,1770237856,Meow and the Diamond Jump,3,0.0015,2025-09-12
2276,1648364111,Snack and Quack,3,0.0015,2025-09-09
2280,1686834411,Sokomine,3,0.0015,2025-09-17
2286,1645862163,SpotCat vs The Cheddar Mafia In Asia,3,0.0015,2025-09-19
2354,1791497779,Agatha Christie - Death on the Nile,2,0.001,2025-09-25
2367,1974477711,Animal Kingdom 3,2,0.001,2025-09-18
2401,1711822201,Breaking Gates Preview,2,0.001,2025-09-09
2416,1749756360,Chocolate Factory Simulator,2,0.001,2025-09-04
2495,1655767197,Frame Cat,2,0.001,2025-09-16
2567,2028723617,LEGO® Party!,2,0.001,2025-09-30
2606,1983120305,Moon Mystery,2,0.001,2025-09-18
2626,1737854273,Not Not 2 - A Brain Challenge,2,0.001,2025-09-19
2653,1662154584,Platypus Reclayed,2,0.001,2025-09-18
2757,1651361422,Tidy Toys,2,0.001,2025-08-29
2908,1853994299,Arctic Awakening,1,0.0005,2025-09-18
2936,1738627078,Bananitro,1,0.0005,2025-09-11
2985,2122418461,Bratz® Rhythm & Style,1,0.0005,2025-09-12
3000,2128038705,BrokenLore: LOW,1,0.0005,2025-09-15
3005,2092197904,Bubsy in: The Purrfect Collection,1,0.0005,2025-09-09
3027,1677710402,Captain Bones,1,0.0005,2025-08-27
3030,1713766289,Carrot Crusade - Mimika's Reckoning,1,0.0005,2025-09-17
3049,1963865580,Claim the Forest,1,0.0005,2025-09-11
3058,1774676042,Color Water Sort,1,0.0005,2025-08-29
3079,2031534546,Creepy Redneck Dinosaur Mansion 3,1,0.0005,2025-09-17
3134,1750169445,DETECTIVE - Scene Crime,1,0.0005,2025-09-04
3136,2043643783,Detective Dotson,1,0.0005,2025-09-09
3150,2119147388,Double Dangerous,1,0.0005,2025-09-04
3158,2075944993,Dragon Ruins,1,0.0005,2025-09-05
3216,1917094843,FARAWAY TRAIN,1,0.0005,2025-08-27
3236,2093758729,Fling to the Finish,1,0.0005,2025-09-04
3291,1841005271,Gloomy Eyes,1,0.0005,2025-09-12
3299,1832133926,Goosebumps: Terror in Little Creek,1,0.0005,2025-08-29
3304,2080856071,Green Soldiers Heroes: Extreme Bikers,1,0.0005,2025-09-19
3357,1755930585,Hot Stakes Casino - American Roulette,1,0.0005,2025-09-10
3383,2128549900,Inspector Waffles Early Days,1,0.0005,2025-09-12
3431,1947189754,Learning Factory,1,0.0005,2025-08-29
3492,2098711695,Mini Words,1,0.0005,2025-08-27
3534,2084735474,Nachtmahr,1,0.0005,2025-09-02
3584,1759144821,PAC-MAN WORLD 2 Re-PAC,1,0.0005,2025-09-26
3654,1837564150,Ragdoll Fighter,1,0.0005,2025-09-05
3665,1874599886,Red Cape Knight,1,0.0005,2025-09-05
3683,1629340609,Rise of Industry 2,1,0.0005,2025-09-15
3764,2008860920,Skyline Bowling,1,0.0005,2025-09-05
3789,1627345546,Space Adventure Cobra - The Awakening,1,0.0005,2025-08-26
3882,1804974104,The Devil Is In The Details,1,0.0005,2025-09-12
3957,2063484815,Train Sim World® 6: Free Starter Pack,1,0.0005,2025-09-30
4001,1668558799,Wander Stars,1,0.0005,2025-09-19
4036,2074295437,Yurukill: The Calumniation Games,1,0.0005,2025-09-10
