rank,title_id,title,players,percentage,release_date
15,1732013402,Grounded 2 (Game Preview),734,1.4502,2025-07-29
16,1854680102,Delta Force,702,1.387,2025-08-19
19,1631143456,EA SPORTS™ Madden NFL 26,580,1.146,2025-08-14
33,2003727579,Call of Duty®: Modern Warfare® III,336,0.6639,2025-07-21
41,1959007243,Call of Duty®: Modern Warfare® II,270,0.5335,2025-07-21
58,1712074146,WUCHANG: Fallen Feathers,200,0.3952,2025-07-24
92,2068332202,Abiotic Factor,122,0.241,2025-07-22
106,1853524575,Mafia: The Old Country,110,0.2173,2025-08-08
168,1779788068,9 Kings (Game Preview),65,0.1284,2025-08-14
210,1924639289,HELLDIVERS™ 2,44,0.0869,2025-08-26
215,2102232082,Heretic + Hexen,43,0.085,2025-08-07
330,1876744786,Killing Floor 3,24,0.0474,2025-07-24
341,1863593626,Blacksmith Master (Game Preview),22,0.0435,2025-08-19
357,1816197116,Wheel World,21,0.0415,2025-07-23
612,2085652095,VOID/BREAKER (Game Preview),9,0.0178,2025-08-18
617,1955966351,Black Myth: Wukong,8,0.0158,2025-08-20
732,1817638967,Echoes of the End: Enhanced Edition,6,0.0119,2025-08-12
749,1751185882,METAL GEAR SOLID Δ: SNAKE EATER,6,0.0119,2025-08-28
771,1984077720,Tales of the Shire: A The Lord of The Rings™ Game,6,0.0119,2025-07-29
859,2144204141,Achilles: Survivor,4,0.0079,2025-07-29
885,1927102516,Herdling,4,0.0079,2025-08-21
1080,2008301104,Wildgate,3,0.0059,2025-07-22
1109,1864828194,Bendy: Lone Wolf,2,0.004,2025-08-15
1250,2013083896,NINJA GAIDEN: Ragebound,2,0.004,2025-07-31
1355,1747369426,A Dream About Parking Lots,1,0.002,2025-07-31
1437,1801882769,BrokenLore: DON'T WATCH,1,0.002,2025-08-18
1460,1944645448,Chess Battle,1,0.002,2025-07-23
1492,1705962055,Crowd City,1,0.002,2025-07-25
1610,1629480703,GRADIUS ORIGINS,1,0.002,2025-08-07
1631,1843279556,I'm on Observation Duty 7,1,0.002,2025-08-15
1659,1967544348,Knightica,1,0.002,2025-08-21
1690,1748081906,Maze: Path of Light,1,0.002,2025-08-15
1783,1686535721,Peak Climb Up!,1,0.002,2025-08-06
1859,1902674094,Secret Paws - Cozy Offices,1,0.002,2025-07-23
1861,2112462799,Sengoku Dynasty,1,0.002,2025-08-21
1893,1813197692,SOS OPS!,1,0.002,2025-08-01
