# 2026-08-31 18:47:35 ; Found 538740 viable session entries from 187303 unique users.
rank,title_id,title,players,percentage,release_date
12,1680003655,Call of Duty®: Modern Warfare® 4 - Beta,6954,3.7127,2026-08-20
18,1962870476,EA SPORTS™ Madden NFL 27,4494,2.3993,2026-08-12
24,1731722945,NBA 2K27,3220,1.7191,2026-09-03
26,1989157631,Once Human,2786,1.4874,2026-08-24
56,2062957237,Hell Let Loose: Vietnam,1428,0.7624,2026-08-13
65,1634088961,No More Room in Hell 2,1272,0.6791,2026-08-11
82,2059212977,Beast of Reincarnation,957,0.5109,2026-08-04
111,1790707834,Resonance: A Plague Tale Legacy,700,0.3737,2026-08-26
131,1645215415,Mortal Shell II,595,0.3177,2026-08-20
168,1643147108,Blood Dungeon,457,0.244,2026-08-25
225,2079193177,The Lord of the Rings: War in the North™ - Legacy Edition,315,0.1682,2026-08-11
272,1733929983,STAR WARS Zero Company™,234,0.1249,2026-08-26
286,2146838759,Gears of War: E-Day Multiplayer Beta,219,0.1169,2026-08-05
300,1887897476,Waterpark Simulator,202,0.1078,2026-07-31
305,1836827624,Mortal Shell II Open Beta,197,0.1052,2026-07-31
306,1946103811,Aliens: Fireteam Elite 2,196,0.1046,2026-08-25
316,2037306298,Mafia: Definitive Edition for XBOX Series X|S,187,0.0998,2026-08-13
641,1830806796,METAL GEAR SOLID 4: Guns of the Patriots - Master Collection Version,65,0.0347,2026-08-27
761,1753283788,The Sinking City 2,48,0.0256,2026-08-18
1076,1748165994,iRacing Arcade,24,0.0128,2026-08-21
1081,1973065679,METAL GEAR SOLID: Peace Walker - Master Collection Version,24,0.0128,2026-08-27
1182,1935260193,Corsair Cove,19,0.0101,2026-07-31
1200,1727426017,Sandustry (Game Preview),19,0.0101,2026-08-13
1365,1877051178,Hidden Cats in Barcelona,14,0.0075,2026-08-26
1410,2095305487,Lootbound,13,0.0069,2026-08-14
1429,1974027100,Splash of Color,13,0.0069,2026-08-28
1445,1723972808,Berry Bury Berry,12,0.0064,2026-08-20
1449,2004415551,CAPTAIN TSUBASA 2: WORLD FIGHTERS,12,0.0064,2026-08-27
1636,1956902009,Kynseed,9,0.0048,2026-08-04
1683,1807479023,Backyard Baseball,8,0.0043,2026-08-18
1699,1664216127,Find The Cats 2 (Xbox One),8,0.0043,2026-08-20
1705,1957032705,Grim Trials,8,0.0043,2026-08-20
1740,1971028549,PAW Patrol™: Dino World,8,0.0043,2026-07-31
1773,1891146321,Tower Dominion,8,0.0043,2026-08-14
1814,2041609242,Find The Cats 2,7,0.0037,2026-08-20
1851,2145096280,Pets Survivors,7,0.0037,2026-08-12
1921,2127068157,Driving is Hard,6,0.0032,2026-08-20
1939,1843104013,Infection Free Zone,6,0.0032,2026-08-27
2043,1692013692,Duskfade,5,0.0027,2026-08-13
2236,2039794466,Ground Zero Hero,4,0.0021,2026-08-20
2295,1906114996,Pool Cleaning Simulator,4,0.0021,2026-08-12
2368,1643586123,A Tower Full of Cats,3,0.0016,2026-08-26
2406,1750660486,BRIGANDINE ABYSS,3,0.0016,2026-08-27
2425,2105350445,Cloudy Day,3,0.0016,2026-08-19
2455,2123616524,Emergency Room Simulator,3,0.0016,2026-08-13
2472,1952087287,Find The Cats 2 (Windows),3,0.0016,2026-08-20
2480,2052173475,Funguys Swarm,3,0.0016,2026-08-25
2499,1961922708,Hidden Legends 2,3,0.0016,2026-08-14
2506,1822775483,How To Catch Fish,3,0.0016,2026-08-26
2546,2083071647,Moonlighter 2: The Endless Vault Demo,3,0.0016,2026-08-05
2669,2103016725,Tropical Jurassic Discovery,3,0.0016,2026-08-28
2705,1881951552,Aggelos 2,2,0.0011,2026-08-27
2784,1913824849,Car Service Simulator,2,0.0011,2026-08-14
2811,1999638024,Creepy Shift: Uncle Joe’s Motel,2,0.0011,2026-08-21
2832,1835728091,Defender of the Crown: The Legend Returns,2,0.0011,2026-08-13
2873,1930089832,ENDLESS Legend™ 2 Demo,2,0.0011,2026-08-04
2897,2040845395,Five Hearts Under One Roof,2,0.0011,2026-08-05
