title_id,title_name,release_date
230005,'n Verlore Verstand,2018-06-12
10010364,- A passive boy at the Huntress clinic - 草食系男子の言いなり入院生活,2025-01-30
10006050,- Am I kind-hearted? - ワタシのココロは綺麗ですか？,2023-07-31
10009431,- Isekai Harem Saver - ハーレム過ぎる異世界は俺が救う,2024-10-15
10009428,- Isekai Tragic Love - 異世界最強勇者の悲恋物語,2024-12-05
10006046,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,2023-07-31
10009433,- Needy Girlfriends - メンヘラアンサンブル,2025-01-22
10010365,- Siblings Role-play - 姉恋ごっこ,2025-02-20
202321,-KLAUS-,2016-01-19
10017214,​​Neon Drifter - Cyber Racing,2026-01-29
10007454,"""Buy The Game, I Have a Gun"" -Sheesh-Man",2025-10-24
10010010,#BLUD,2024-06-18
10015922,#DRIVE Rally,2026-06-18
10009435,"#Halloween, Super Puzzles Dream",2023-10-31
202326,#KILLALLZOMBIES,2014-10-27
10001700,#SinucaAttack,2021-02-10
10008401,"#Wish travel, Super Puzzles Dream",2023-06-01
10007378,"#WomenUp, Super Puzzles Dream",2023-01-27
10006970,"#Xmas, Super Puzzles Dream",2022-12-23
10015863,%,2025-07-15
10015665,(Dis)Assemble,2025-08-06
230675,.hack//G.U. Last Recode,2017-11-02
10009237,.T.E.S.T: Expected Behaviour,2023-12-08
203586,[PROTOTYPE®],2015-08-10
203587,[PROTOTYPE®2],2015-08-10
10007288,[REDACTED],2024-10-31
10006051,～ Isekai Bride Hunting ～ 異世界娘と婚活中,2023-07-31
10016979,>start ai,2025-09-30
217641,√Letter,2016-11-08
232857,√Letter Root Letter　Last Answer,2019-09-02
10002669,0 Degrees,2021-05-19
10008757,0 Rally Desert Race: Offroad Dirt Simulator,2023-09-01
10006560,007 First Light,2026-05-27
10008616,01 Deadliest Zone Catch — Boat Crab & Fishing Simulator,2023-08-29
10015690,0xDEADRUN,2025-07-26
10018424,1-2-Dynamic Word Search!,2026-12-31
10016777,1-2-Exquisite Word Search!,2025-10-14
10014895,1-2-Fantastic Word Search!,2025-04-28
10020598,1-2-Splendid Word Search!,2026-12-31
10012125,1-2-Whopping Word Search!,2024-09-16
10010674,1-2-Word Search!,2024-05-01
10018114,1 CatLine,2026-03-11
10012387,10-Second Ghost,2024-09-30
