rank,title,spotted_new_players,sample_size,pct_of_sample,concept,release_date,extrapolated_total_new_players
1,Undisputed,143462,6084276,2.36,10009297,2024-10-11,2300504
2,Marvel's Spider-Man 2,68302,6084276,1.12,10002456,2023-10-20,1095265
3,Subnautica: Below Zero,67388,6084276,1.11,235298,2021-05-14,1080609
4,EA SPORTS FC™ 26,59980,6084276,0.99,10011898,2025-09-19,961817
5,ACE COMBAT™ 7: SKIES UNKNOWN,42864,6084276,0.70,221661,2019-01-10,687351
6,Grand Theft Auto V,40969,6084276,0.67,201930,2014-11-18,656963
7,Minecraft,40555,6084276,0.67,212779,2024-10-22,650325
8,NBA 2K26,39058,6084276,0.64,10014149,2025-08-29,626319
9,Test Drive Unlimited Solar Crown,31089,6084276,0.51,10003910,2024-09-12,498531
10,Tom Clancy's Rainbow Six Siege,30939,6084276,0.51,203897,2015-12-01,496126
11,Fortnite,30168,6084276,0.50,228748,2017-07-20,483763
12,REANIMAL,27718,6084276,0.46,10010999,2026-02-13,444475
13,Roblox,27344,6084276,0.45,223118,2023-10-11,438478
14,ARC Raiders,26844,6084276,0.44,10003610,2025-10-30,430460
15,EA SPORTS™ Madden NFL 26,25898,6084276,0.43,10012604,2025-08-11,415290
16,Nioh 3,24784,6084276,0.41,10014010,2026-02-06,397427
17,Resident Evil Village,24498,6084276,0.40,235235,2021-12-31,392840
18,Rocket League®,21923,6084276,0.36,203715,2015-07-06,351549
19,Red Dead Redemption,21610,6084276,0.36,10006164,2023-08-17,346530
20,Overwatch®,21580,6084276,0.35,216627,2022-10-04,346048
21,Marvel's Spider-Man,21415,6084276,0.35,10000762,2023-05-04,343403
22,skate.™,20187,6084276,0.33,10006353,2025-09-16,323711
23,Marvel Rivals,19257,6084276,0.32,10010451,2024-12-06,308798
24,Apex Legends™,17459,6084276,0.29,232352,2019-02-04,279966
25,Fall Guys,17097,6084276,0.28,10003354,2022-06-21,274161
26,UFC® 5,16298,6084276,0.27,10002788,2023-10-27,261348
27,Hollow Knight,16209,6084276,0.27,232654,2018-09-24,259921
28,Ultros,15656,6084276,0.26,10003373,2024-02-13,251053
29,Mortal Kombat 1,15501,6084276,0.25,10004911,2023-09-19,248568
30,ASTRO's PLAYROOM,14388,6084276,0.24,10000229,2020-11-12,230720
31,It Takes Two  PS4™ & PS5™,14268,6084276,0.23,234689,2021-03-26,228796
32,God of War Ragnarök,14182,6084276,0.23,10001850,2022-11-09,227417
33,Battlefield™ 6,13609,6084276,0.22,10009568,2025-10-10,218228
34,God of War Sons of Sparta,13512,6084276,0.22,10012744,2026-02-13,216673
35,Where Winds Meet (F2P),13424,6084276,0.22,10011142,2025-11-14,215262
36,The Last of Us™ Part II,13126,6084276,0.22,230079,2024-01-19,210483
37,Highguard,13098,6084276,0.22,10012011,2026-01-26,210034
38,Cyberpunk 2077,12917,6084276,0.21,234567,2020-12-10,207132
39,Echoes of the End: Enhanced Edition,12484,6084276,0.21,10012310,2025-08-12,200188
40,WWE 2K25,12216,6084276,0.20,10010684,2025-03-14,195891
41,The Exit 8,12188,6084276,0.20,10011105,2024-08-08,195442
42,Ghost of Tsushima,12082,6084276,0.20,235227,2020-07-17,193742
43,Dead by Daylight,12058,6084276,0.20,227319,2017-06-19,193357
44,2XKO,11846,6084276,0.19,10005841,2026-01-21,189958
45,Delta Force,11771,6084276,0.19,10014058,2025-08-19,188755
46,Resident Evil 4,11666,6084276,0.19,10004473,2023-03-24,187071
47,Red Dead Redemption 2,11508,6084276,0.19,209441,2018-10-25,184538
48,VALORANT,11260,6084276,0.19,10010048,2024-08-02,180561
49,Assassin's Creed® Mirage,11125,6084276,0.18,10004865,2023-10-05,178396
50,Marvel's Spider-Man: Miles Morales,11034,6084276,0.18,10000649,2020-11-12,176937
51,eFootball™,10924,6084276,0.18,10002427,2021-09-30,175173
52,Among Us,10511,6084276,0.17,10002811,2021-12-14,168550
53,Poppy Playtime: Chapter 1,10306,6084276,0.17,10009028,2023-12-20,165263
54,Rugby 25,10286,6084276,0.17,10008324,2025-02-13,164942
55,Hogwarts Legacy,10249,6084276,0.17,232447,2023-02-10,164349
56,Asphalt Legends,10176,6084276,0.17,10008740,2024-07-17,163178
57,Expeditions: A MudRunner Game (PS4 & PS5),10076,6084276,0.17,10008790,2024-03-05,161575
58,The Crew Motorfest,9947,6084276,0.16,10002313,2023-09-14,159506
59,Forza Horizon 5,9875,6084276,0.16,10010647,2025-04-29,158351
60,EA SPORTS™ College Football 26,9557,6084276,0.16,10012463,2025-07-07,153252
61,The Last of Us™ Part I,9511,6084276,0.16,10002694,2022-09-02,152514
62,Arknights: Endfield,9422,6084276,0.15,10009205,2026-01-22,151087
63,PUBG: BATTLEGROUNDS,9065,6084276,0.15,232860,2018-12-07,145363
64,Fallout 4,8990,6084276,0.15,201511,2015-11-10,144160
65,Need for Speed™ Unbound,8756,6084276,0.14,10001269,2022-12-02,140408
66,A Way Out,8741,6084276,0.14,227061,2018-03-22,140167
67,A Quiet Place: The Road Ahead,8400,6084276,0.14,10009366,2024-10-17,134699
68,Gang Beasts,8305,6084276,0.14,216234,2017-12-12,133175
69,SILENT HILL 2,7870,6084276,0.13,10005529,2024-10-06,126200
70,EA SPORTS FC™ 25,7756,6084276,0.13,10009762,2024-09-20,124372
71,Call of Duty®: Modern Warfare® II,7624,6084276,0.13,10010971,2022-10-28,122255
72,Disney Epic Mickey: Rebrushed,7318,6084276,0.12,10008074,2024-09-24,117348
73,Brawlhalla,7166,6084276,0.12,216932,2017-07-31,114911
74,Kingdom Come: Deliverance,7090,6084276,0.12,227410,2018-02-13,113692
75,Stumble Guys,7078,6084276,0.12,10007588,2024-04-09,113500
76,Rec Room,7006,6084276,0.12,229261,2017-11-30,112345
77,UNCHARTED: Legacy of Thieves Collection,6878,6084276,0.11,205354,2016-05-09,110293
78,Wo Long: Fallen Dynasty,6857,6084276,0.11,10004116,2023-03-03,109956
79,THE FINALS,6826,6084276,0.11,10006873,2023-12-08,109459
80,War Thunder,6766,6084276,0.11,205366,2014-06-02,108497
81,NEW MONOPOLY®,6737,6084276,0.11,10008585,2024-09-26,108032
82,High On Life 2,6673,6084276,0.11,10012995,2026-02-13,107005
83,Gran Turismo™ 7,6619,6084276,0.11,10000956,2022-03-04,106139
84,Mortal Kombat 11,6617,6084276,0.11,231756,2019-04-22,106107
85,Riders Republic™,6433,6084276,0.11,10000459,2021-10-28,103157
86,Call of Duty®: Modern Warfare® III,6364,6084276,0.10,10011645,2023-11-10,102050
87,HELLDIVERS™ 2,6282,6084276,0.10,10000657,2024-02-08,100735
88,Dead Island 2,6192,6084276,0.10,201061,2023-04-21,99292
89,Ready or Not,6182,6084276,0.10,10009213,2025-07-15,99132
90,theHunter: Call of the Wild™,6046,6084276,0.10,228868,2017-10-01,96951
91,POLICE SIMULATOR: PATROL OFFICERS,5986,6084276,0.10,10000663,2022-11-10,95989
92,My First Gran Turismo,5955,6084276,0.10,10011588,2024-12-06,95492
93,RESIDENT EVIL 2,5890,6084276,0.10,229500,2019-01-25,94449
94,God of War,5585,6084276,0.09,227770,2018-04-19,89559
95,FAR CRY®6,5550,6084276,0.09,233961,2021-10-07,88997
96,Assassin's Creed Valhalla,5542,6084276,0.09,10000237,2020-11-12,88869
97,Maximum Football,5524,6084276,0.09,10003464,2025-06-17,88580
98,Ghost of Yōtei,5522,6084276,0.09,10003923,2025-10-02,88548
99,RESIDENT EVIL 7 biohazard,5501,6084276,0.09,220037,2017-01-24,88212
100,NHL® 26,5450,6084276,0.09,10012851,2025-09-12,87394
101,The Sims™ 4,5390,6084276,0.09,228857,2017-11-17,86432
102,World War Z: Aftermath,5278,6084276,0.09,230658,2019-04-15,84636
103,The Outlast Trials,5224,6084276,0.09,10001988,2024-03-05,83770
104,Disney•Pixar Wall-E,5186,6084276,0.09,10007632,2026-02-17,83160
105,High On Life,5180,6084276,0.09,10007961,2023-07-23,83064
106,DRAGONBALL GEKISHIN SQUADRA,5086,6084276,0.08,10007638,2025-09-10,81557
107,MotoGP™25,4956,6084276,0.08,10012137,2025-04-30,79472
